naive_encoding_time,naive_decoding_time,accurate_encoding_time,accurate_decoding_time,horizontal_step,vertical_step,tile_size,error_threshold,frame_path
77.346842,3.899122,89.1793,10.434105,0.09009,0.47,4,0.75,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
89.269008,3.907256,98.527703,6.884915,0.09009,0.47,4,1.0,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
13.647607,3.635739,16.066752,6.546393,0.09009,0.47,4,0.001,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
28.712046,3.958125,17.523078,6.448901,0.09009,0.47,4,0.01,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
31.091955,3.681252,25.432428,6.616203,0.09009,0.47,4,0.05,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
31.63236,3.658079,38.777983,6.517281,0.09009,0.47,4,0.1,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
38.590656,4.129982,42.235824,6.63162,0.09009,0.47,4,0.25,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
52.506288,3.715753,53.371658,6.607675,0.09009,0.47,4,0.5,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
60.316437,13.370774,56.043603,6.571256,0.09009,0.47,4,0.75,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
65.374277,3.772054,80.553581,6.563287,0.09009,0.47,4,1.0,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
